Career,Interest 1,Interest 2,Personality 1,Personality 2,Description,Learning Path,Skills,Work Experience,Salary,Common Degree(s),Common Major(s),Work Environment
AI Researcher,Investigative,Artistic,Openness,Conscientiousness,Explores and develops artificial intelligence algorithms and systems.,Bachelor's in CS or related → Master's/PhD in AI/ML → Research projects/internships → Publish papers,"Machine Learning, Deep Learning, Python, Research, Data Analysis",Mid to Senior level (3-7 years),"₹12,00,000 – ₹35,00,000","B.Tech, BSc, MSc, PhD","Computer Science, AI, Data Science","Remote, Team-based"
Graphic Designer,Artistic,Realistic,Openness,Extraversion,Creates visual content to communicate ideas using tools like Photoshop and Illustrator.,Bachelor's in Graphic Design/Fine Arts → Master design software → Build portfolio → Gain experience,"Adobe Photoshop, Illustrator, Creativity, Typography, Branding",Entry to Mid level (0-3 years),"₹3,00,000 – ₹8,00,000","BFA, BA","Graphic Design, Visual Arts","Remote, Individual work, Team-based"
Biologist,Investigative,Realistic,Openness,Conscientiousness,Studies living organisms and their interactions with the environment.,Bachelor's in Biology/Life Sciences → Specialize (Master’s/PhD) → Lab/field research → Publish findings,"Laboratory Techniques, Microscopy, Data Analysis, Scientific Writing",Entry to Mid level (0-3 years),"₹4,00,000 – ₹10,00,000","BSc, MSc, PhD","Biology, Life Sciences","Lab-based, Team-based"
Psychologist,Social,Investigative,Agreeableness,Openness,"Analyzes human behavior, emotions, and mental processes to support well-being.",Bachelor's in Psychology → Master's/PhD → Internship → Licensure → Clinical practice/research,"Communication, Empathy, Counseling, Data Interpretation, Ethics",Mid to Senior level (3-7 years),"₹3,50,000 – ₹12,00,000","BA, BSc, MA, MSc, PhD",Psychology,"Individual work, Clinical"
Mechanical Engineer,Realistic,Investigative,Conscientiousness,Realistic,Designs and builds mechanical systems and devices to solve real-world problems.,Bachelor's in Mechanical Engineering → Internship → Professional Engineer (PE) license → Work in industry,"CAD Design, Thermodynamics, Mechanical Design, Problem Solving",Entry to Mid level (1-5 years),"₹4,00,000 – ₹10,00,000","B.Tech, BE",Mechanical Engineering,"On-site, Team-based"
Journalist,Artistic,Enterprising,Openness,Conscientiousness,Investigates and reports news stories to inform the public.,Bachelor's in Journalism/Communication → Internships → Build portfolio → Work in media,"Investigative Reporting, Writing, Editing, Interviewing, Research",Entry to Mid level (0-3 years),"₹2,50,000 – ₹8,00,000","BA, MA","Journalism, Mass Communication","Field work, Remote, Team-based"
Marketing Manager,Enterprising,Artistic,Openness,Conscientiousness,Develops and oversees marketing strategies to promote products or services.,Bachelor's in Marketing/Business → Work experience → Develop leadership → Manage campaigns,"SEO, Digital Marketing, Analytics, Strategy, Communication",Entry to Mid level (0-3 years),"₹6,00,000 – ₹20,00,000","BBA, MBA","Marketing, Business Administration","Corporate environment, Team-based"
Teacher,Social,Artistic,Openness,Conscientiousness,Educates students in various subjects across different age groups.,Bachelor's in Education or relevant subject → Teaching license → Classroom experience,"Classroom Management, Lesson Planning, Communication, Patience",Entry to Mid level (0-3 years),"₹2,50,000 – ₹8,00,000","B.Ed, BA, BSc, M.Ed",Education + subject-specific major,"Classroom, Team-based"
Accountant,Conventional,Investigative,Openness,Conscientiousness,Manages financial records and ensures compliance with accounting standards.,Bachelor's in Accounting/Finance → CPA certification → Work experience → Specialize,"Financial Reporting, Tax Preparation, Excel, Attention to Detail",Entry to Mid level (0-3 years),"₹3,00,000 – ₹9,00,000","B.Com, BBA","Accounting, Finance","Corporate environment, Individual work"
Entrepreneur,Enterprising,Conventional,Openness,Conscientiousness,"Starts and manages businesses, taking on financial and operational risks.",Business knowledge → Market research → Develop business plan → Launch startup → Iterate & scale,"Business Strategy, Leadership, Risk Management, Networking",Entry to Mid level (0-3 years),₹0 – ₹Unlimited (varies widely),Any Degree,"Business, Management, Tech (varies)","Varied, Remote, Team-based"
